jd_id,title,role,text
J001,Data Scientist,Data Scientist,"Bluepeak Systems is hiring a Data Scientist (Coimbatore).

About the role
You will build predictive models, run experiments and turn messy data into decisions for business teams.

Required
- 2-5 years of experience
- Master's degree in Computer Science, Statistics or a related field
- Hands-on experience with Ml models, feature engineering, Statistical modelling, Python

Nice to have
- Exposure to natural language processing, pandas, Git
"
J002,Junior Data Scientist,Data Scientist,"Brightwave Solutions is hiring a Junior Data Scientist (Hyderabad).

About the role
You will build predictive models, run experiments and turn messy data into decisions for business teams.

Required
- 0-2 years of experience (freshers welcome)
- Bachelor's degree in Computer Science or a related field (Master's preferred)
- Hands-on experience with a/b tests, numpy, SQL, statistical modeling, ml models, Feature engineering

Nice to have
- Exposure to neural networks, git, tableau
"
J003,Senior Data Scientist,Data Scientist,"Northwind Labs is hiring a Senior Data Scientist (Pune).

About the role
You will build predictive models, run experiments and turn messy data into decisions for business teams.

Required
- 6-10 years of experience
- Bachelor's degree in Computer Science or a related field
- Hands-on experience with python, A/b tests, numpy, SQL

Nice to have
- Exposure to feature engineering, tableau, Pandas
"
J004,Senior Data Scientist,Data Scientist,"Northwind Labs is hiring a Senior Data Scientist (Pune).

About the role
You will build predictive models, run experiments and turn messy data into decisions for business teams.

Required
- 6-10 years of experience
- Bachelor's degree in Computer Science or a related field
- Hands-on experience with numpy, python, Pandas, ab testing, Feature engineering, scikit-learn

Nice to have
- Exposure to SQL, deep learning
"
J005,Data Scientist,Data Scientist,"Quanta Works is hiring a Data Scientist (Hyderabad).

About the role
You will build predictive models, run experiments and turn messy data into decisions for business teams.

Required
- 3-6 years of experience
- Master's degree in Computer Science, Statistics or a related field
- Hands-on experience with Machine learning, a/b tests, numpy, Scikit learn

Nice to have
- Exposure to SQL, Nlp, Python
"
J006,ML Engineer,ML Engineer,"Pinecrest Technologies is hiring a ML Engineer (Chennai).

About the role
You will take models from notebooks to production, owning training, deployment and monitoring.

Required
- 3-6 years of experience
- Bachelor's degree in Computer Science or a related field
- Hands-on experience with docker, Pytorch, Neural networks, AWS

Nice to have
- Exposure to faiss, Spark, git
"
J007,Junior ML Engineer,ML Engineer,"Vertex Ninety is hiring a Junior ML Engineer (Delhi NCR).

About the role
You will take models from notebooks to production, owning training, deployment and monitoring.

Required
- 0-2 years of experience (freshers welcome)
- Bachelor's degree in Computer Science or a related field
- Hands-on experience with mlflow, Scikit learn, Ml models, python, pytorch

Nice to have
- Exposure to spark, Git
"
J008,Senior ML Engineer,ML Engineer,"Helix Softworks is hiring a Senior ML Engineer (Bengaluru).

About the role
You will take models from notebooks to production, owning training, deployment and monitoring.

Required
- 6-10 years of experience
- Master's degree in Computer Science, Statistics or a related field
- Hands-on experience with git, machine learning, Mlflow, pytorch

Nice to have
- Exposure to Scikit learn, Pyspark, K8s
"
J009,Senior ML Engineer,ML Engineer,"Bluepeak Systems is hiring a Senior ML Engineer (Pune).

About the role
You will take models from notebooks to production, owning training, deployment and monitoring.

Required
- 6-10 years of experience
- Bachelor's degree in Computer Science or a related field
- Hands-on experience with Amazon web services, Deep learning, ml models, Sklearn, Pytorch, python

Nice to have
- Exposure to Tensorflow, Fastapi
"
J010,ML Engineer,ML Engineer,"Maple & Finch Tech is hiring a ML Engineer (Coimbatore).

About the role
You will take models from notebooks to production, owning training, deployment and monitoring.

Required
- 3-6 years of experience
- Bachelor's degree in Computer Science or a related field (Master's preferred)
- Hands-on experience with scikit learn, mlflow, AWS, Pytorch

Nice to have
- Exposure to deep learning, Transformers
"
